Results from the 20th iteration     date:14/05/22
---------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=50 nLeg=1000 pMin=0.001 pMax=1000.0
 
Degree of convergence : 0.00664860513505105
 
Current value for Z2 : 0.9849070697390878

Graph for A(p) and M(p) :
p                         A(p)                      M(p)                     
0.0010000000000000002     1.5605956206932146        0.48905056405882436      
0.0013182567385564082     1.560595701427354         0.48905004511425715      
0.001737800828749375      1.560595841726322         0.4890491432934493       
0.0022908676527677737     1.560596085533547         0.48904757611356076      
0.0030199517204020166     1.5605965092082317        0.4890448526824037       
0.003981071705534972      1.560597245428836         0.489040119947941        
0.005248074602497728      1.5605985247089655        0.4890318955380492       
0.006918309709189366      1.560600747465686         0.48901760357470403      
0.009120108393559105      1.5606046090349672        0.4889927682661879       
0.012022644346174125      1.5606113162332147        0.48894961330322595      
0.01584893192461114       1.5606229616212584        0.48887463021788935      
0.020892961308540386      1.5606431676297705        0.48874435970614666      
0.02754228703338166       1.5606781870093756        0.4885180816125693       
0.03630780547701015       1.5607387582063363        0.48812517548582574      
0.047863009232263866      1.560843158201682         0.48744334802912653      
0.06309573444801932       1.5610219934824405        0.48626137376363354      
0.08317637711026711       1.5613249909151696        0.484216069142693        
0.10964781961431853       1.5618282582525456        0.4806878718694813       
0.1445439770745927        1.5626336793693105        0.474634292832395        
0.19054607179632477       1.5638304540093781        0.4643430034242537       
0.2511886431509581        1.5653280201350153        0.4471189381258275       
0.33113112148259105       1.5663252243743342        0.4190358412943266       
0.436515832240166         1.5639465897593943        0.3751671564577718       
0.5754399373371571        1.5506764518215543        0.3111847245344145       
0.7585775750291835        1.5125858787139281        0.2275341550020808       
1.0                       1.4369027498005293        0.13618180016727377      
1.3182567385564075        1.3331893315823653        0.06249652529184999      
1.7378008287493762        1.2334458715316876        0.02470102510107238      
2.2908676527677745        1.156632315863271         0.012459222845660619     
3.0199517204020143        1.1026131435748348        0.00856357053378526      
3.981071705534971         1.0663030485381084        0.006722509215892073     
5.2480746024977245        1.0424748568692135        0.005687428435855832     
6.918309709189367         1.0270738346932344        0.00505712155821766      
9.120108393559098         1.0170281482737067        0.004649380434476256     
12.022644346174138        1.0082766355286832        0.004349303480269998     
15.848931924611122        1.0020808004750514        0.004118436824867722     
20.892961308540382        0.9993354667977283        0.0039462292078621015    
27.54228703338165         0.9975179313216331        0.0038053539059544586    
36.30780547701014         0.9959141229351067        0.0036832770964912885    
47.863009232263856        0.9944891113687417        0.003575022451073933     
63.095734448019364        0.9932195815175899        0.0034774657550733275    
83.17637711026705         0.9920813760741289        0.003388498594494921     
109.64781961431841        0.9910546134519125        0.0033066478337075993    
144.54397707459273        0.9901232299041873        0.003230839207850605     
190.54607179632464        0.989274045223089         0.0031602547455269773    
251.18864315095806        0.988496031998231         0.003094245755768288     
331.1311214825911         0.9877796995942243        0.0030322764411252383    
436.5158322401654         0.9871164641572383        0.002973882339208763     
575.4399373371566         0.9864977330953701        0.0029186290074744428    
758.5775750291831         0.9859126561635816        0.002866039828695232     
999.9999999999998         0.9853555515430152        0.00281526286701185      
