Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.3608128626386678-1.0393199323815117j)           (-0.14730923284579756-0.0789158461218988j)         (0.018405658551273768-0.09616462806287329j)       
(0.33914773485945215-1.0319986366562202j)          (-0.15185773626388394-0.10322544715802746j)        (0.042136690047446426-0.09913943582140299j)       
(0.3170855115912218-1.0249601073510455j)           (-0.15589402665494906-0.12814563780138044j)        (0.07196206330192342-0.09926768341802421j)        
(0.2946270971178749-1.0182362821841038j)           (-0.1612661600625483-0.15150573133870454j)         (0.10931789714024741-0.09733298330853787j)        
(0.2717764890539718-1.0118608896496115j)           (-0.17014289662505788-0.16995389198833552j)        (0.15890987938554108-0.09789826518433906j)        
(0.24854127190387737-1.0058691584095802j)          (-0.18069293814091883-0.173015251651446j)          (0.21845797515312934-0.11391492975175703j)        
(0.2249331034790474-1.0002974062951058j)           (-0.17951912930010286-0.1542527086001327j)         (0.277119197295852-0.1404138337984883j)           
(0.2009681646485519-0.9951824974356248j)           (-0.15330857535927628-0.12529219333021424j)        (0.30865672012498874-0.17461291254286013j)        
(0.17666753601868843-0.9905611633225454j)          (-0.10753631780532638-0.10067248658545612j)        (0.3221588123957677-0.19515493185490493j)         
(0.1520574599593252-0.9864691942120046j)           (-0.0522777144623539-0.08889331744374689j)         (0.32644493681229075-0.19730336509477903j)        
(0.1271694444814179-0.982940520891123j)            (-0.00226438633069156-0.0802702357167724j)         (0.3337859856018415-0.18055090998933995j)         
(0.10204016843228896-0.9800062224158017j)          (0.033358905169072105-0.07359053482209552j)        (0.3411621310381158-0.1526413207967062j)          
(0.07671115656658789-0.977693511046168j)           (0.060744437028190705-0.06254927303938346j)        (0.34952868262654624-0.11943108332044633j)        
(0.05122820867032111-0.976024758581241j)           (0.05043119068915607-0.057671609020610054j)        (0.3432805606646384-0.08318068586988735j)         
(0.025640588156498664-0.9750166356329574j)         (0.09698784031217007-0.018370157014602824j)        (0.3643983504069417-0.03915101948392146j)         
(4.556259157007655e-16+0.9746794344808963j)        (0.10183815858974737+2.59689179474635e-15j)        (0.3664311972338766+1.1424909223218798e-14j)      
(0.025640588156499573+0.9750166356329574j)         (0.09698784031217221+0.018370157014601058j)        (0.36439835040694074+0.03915101948392198j)        
(0.05122820867032201+0.9760247585812412j)          (0.050431190689165746+0.05767160902060995j)        (0.3432805606646389+0.08318068586988801j)         
(0.07671115656658879+0.9776935110461681j)          (0.06074443702817983+0.0625492730394022j)          (0.3495286826265479+0.11943108332045599j)         
(0.10204016843228986+0.9800062224158018j)          (0.033358905169090625+0.07359053482210254j)        (0.3411621310381268+0.15264132079670265j)         
(0.1271694444814188+0.9829405208911233j)           (-0.002264386330684667+0.08027023571676858j)       (0.33378598560183487+0.18055090998934378j)        
(0.1520574599593261+0.9864691942120047j)           (-0.05227771446236989+0.0888933174437562j)         (0.3264449368122851+0.1973033650947719j)          
(0.1766675360186893+0.9905611633225456j)           (-0.10753631780536282+0.10067248658547111j)        (0.32215881239577226+0.19515493185488997j)        
(0.20096816464855274+0.995182497435625j)           (-0.1533085753592846+0.1252921933302169j)          (0.3086567201249832+0.17461291254285008j)         
(0.22493310347904824+1.000297406295106j)           (-0.17951912930009004+0.1542527086001383j)         (0.2771191972958453+0.14041383379849234j)         
(0.2485412719038782+1.0058691584095805j)           (-0.1806929381409237+0.1730152516514371j)          (0.21845797515312693+0.11391492975174684j)        
(0.2717764890539726+1.0118608896496117j)           (-0.17014289662505344+0.16995389198832742j)        (0.15890987938554052+0.09789826518432038j)        
(0.2946270971178757+1.018236282184104j)            (-0.1612661600625543+0.15150573133869488j)         (0.10931789714024841+0.09733298330853117j)        
(0.31708551159122256+1.0249601073510457j)          (-0.15589402665494378+0.12814563780136953j)        (0.07196206330190363+0.09926768341801448j)        
(0.33914773485945293+1.0319986366562204j)          (-0.15185773626389126+0.10322544715802362j)        (0.04213669004744122+0.09913943582140423j)        
(0.3608128626386685+1.039319932381512j)            (-0.14730923284579975+0.07891584612190147j)        (0.018405658551270195+0.09616462806286995j)       
(0.3820826054908958+1.0468940335194923j)           (-0.14467239817814634+0.055203656913714386j)       (-0.003680187523278803+0.09298821393602061j)      
(0.40296084077624544+1.054693054494576j)           (-0.13294680599115974+0.03513172109853207j)        (-0.0146434977191637+0.08231919884631618j)        
(0.42345320451629676+1.062691214048145j)           (-0.12540098564035274+0.017053856504068005j)       (-0.026756848022405758+0.07529883992359664j)      
(0.4435667279307824+1.0708648103879503j)           (-0.11610688778030526+0.0003739352266423333j)      (-0.036497082241542106+0.06628414613813152j)      
(0.47189109162357107-1.0595665162478878j)          (-0.1210665961279414+0.02483113242975001j)         (-0.055094155599305535-0.06538058198558896j)      
(0.4520095313321612-1.050862796189455j)            (-0.13265313180898017+0.009895146892806468j)       (-0.04684017975613241-0.07603613270647723j)       
(0.4317361498275223-1.0423032682803468j)           (-0.14358021091022785-0.007854236499773907j)       (-0.03601560852946893-0.08703815600078797j)       
(0.41106072563186735-1.0339104991037653j)          (-0.15294023368630305-0.027525845588410244j)       (-0.022421120536631974-0.09685001638838554j)      
(0.389974010595084-1.0257093784009264j)            (-0.16220673335768065-0.04954099013648743j)        (-0.006454263849984428-0.10722901677552267j)      
(0.36846807961205946-1.0177272354088787j)          (-0.17130563196153856-0.07205403619269651j)        (0.01091327658162178-0.11709414314096273j)        
(0.3465367405479091-1.0099939170854293j)           (-0.17772781247120448-0.09846911313112812j)        (0.03654621782225172-0.127202584770708j)          
(0.3241760058662005-1.0025418109881317j)           (-0.18139636234145778-0.1240276482738929j)         (0.06785903972472239-0.13440819593200373j)        
(0.30138462356198314-0.9954057922875466j)          (-0.1832129086400872-0.14753480772678487j)         (0.10599202571716716-0.14082824509445566j)        
(0.2781646594073815-0.9886230716219526j)           (-0.18294870141320366-0.1651376166957908j)         (0.14942234093137813-0.14709040604117146j)        
(0.2545221150496552-0.9822329189399782j)           (-0.17733092676449-0.17449693713032327j)           (0.21001309050749672-0.16054372033136788j)        
(0.23046755723409873-0.9762762390519666j)          (-0.1622783520893818-0.1725623694304617j)          (0.25035917402700925-0.1862939190292335j)         
(0.20601672284017414-0.9707949784016217j)          (-0.13287737613905062-0.16199317184849402j)        (0.2874178300901752-0.20299004862628495j)         
(0.1811910535752222-0.9658313506486j)              (-0.09206820539398729-0.15063245721293364j)        (0.313244046768395-0.21186804199149553j)          
(0.15601810479959308-0.9614268817883431j)          (-0.0498410695142202-0.136019751461048j)           (0.3339935744449124-0.20383147247969685j)         
(0.13053176742362382-0.9576212937830564j)          (0.0090168960231927-0.12197254765586271j)          (0.35794162391525447-0.1923946833024708j)         
(0.10477224281575864-0.9544512679360032j)          (0.04852256340648107-0.10901487770465329j)         (0.37280689907983533-0.16531271877030213j)        
(0.07878572061209071-0.9519491529343184j)          (0.08175862242003439-0.09041467259899116j)         (0.38701164493020535-0.13106344940021275j)        
(0.052623729503625906-0.9501417035931381j)         (0.10794728703621885-0.06480610191820475j)         (0.39939705605603043-0.09096448728919729j)        
(0.02634216075037578-0.9490489499667542j)          (0.12432029372117513-0.02824512535362272j)         (0.4076722903468598-0.04363651580622371j)         
(4.681111291435602e-16+0.9486832980505138j)        (0.12913820707745685+4.4388744685275346e-15j)      (0.40988539132562024+1.0650919289197269e-14j)     
(0.026342160750376716+0.9490489499667542j)         (0.12432029372117032+0.028245125353625264j)        (0.40767229034685387+0.04363651580622564j)        
(0.052623729503626836+0.9501417035931382j)         (0.10794728703620465+0.06480610191820567j)         (0.3993970560560138+0.09096448728920041j)         
(0.07878572061209164+0.9519491529343185j)          (0.0817586224200364+0.09041467259898799j)          (0.38701164493020956+0.13106344940021727j)        
(0.10477224281575957+0.9544512679360033j)          (0.048522563406478494+0.10901487770465111j)        (0.37280689907983877+0.16531271877029416j)        
(0.13053176742362474+0.9576212937830565j)          (0.009016896023194861+0.12197254765586879j)        (0.3579416239152593+0.1923946833024647j)          
(0.15601810479959397+0.9614268817883432j)          (-0.04984106951422556+0.13601975146104056j)        (0.33399357444491157+0.2038314724796992j)         
(0.1811910535752231+0.9658313506486002j)           (-0.0920682053939987+0.15063245721293927j)         (0.313244046768395+0.21186804199149134j)          
(0.20601672284017503+0.9707949784016219j)          (-0.13287737613906625+0.161993171848492j)          (0.2874178300901767+0.2029900486262821j)          
(0.2304675572340996+0.9762762390519668j)           (-0.16227835208939662+0.17256236943044662j)        (0.250359174027025+0.1862939190292202j)           
(0.25452211504965605+0.9822329189399784j)          (-0.1773309267644821+0.17449693713031614j)         (0.2100130905075008+0.16054372033136946j)         
(0.2781646594073824+0.9886230716219528j)           (-0.1829487014132127+0.1651376166957935j)          (0.14942234093137816+0.14709040604118373j)        
(0.301384623561984+0.9954057922875468j)            (-0.1832129086400933+0.1475348077267835j)          (0.1059920257171621+0.14082824509446126j)         
(0.32417600586620127+1.002541810988132j)           (-0.18139636234146372+0.12402764827389157j)        (0.06785903972471483+0.1344081959319949j)         
(0.34653674054790995+1.0099939170854295j)          (-0.17772781247120067+0.09846911313112297j)        (0.036546217822251786+0.127202584770713j)         
(0.36846807961206024+1.0177272354088789j)          (-0.17130563196154203+0.07205403619269735j)        (0.010913276581614525+0.11709414314096608j)       
(0.3899740105950848+1.0257093784009266j)           (-0.16220673335768532+0.04954099013648915j)        (-0.006454263849987405+0.10722901677553182j)      
(0.4110607256318681+1.0339104991037658j)           (-0.15294023368630233+0.02752584558841521j)        (-0.022421120536629976+0.0968500163883906j)       
(0.43173614982752306+1.042303268280347j)           (-0.14358021091022516+0.007854236499771993j)       (-0.03601560852946626+0.08703815600078844j)       
(0.45200953133216193+1.0508627961894552j)          (-0.13265313180897573-0.009895146892805955j)       (-0.04684017975613028+0.07603613270647677j)       
(0.4808536548892338-1.0398174058075458j)           (-0.13487377950035903+0.03801789194557908j)        (-0.06665124554883374-0.07227484541232182j)       
(0.46084426783795207-1.0307169539689827j)          (-0.14904859875554732+0.02292355962053978j)        (-0.05903038820226564-0.08481960563857188j)       
(0.44042129848248407-1.0217489516299967j)          (-0.1626294339961528+0.005204959918452402j)        (-0.04912915879506941-0.09772466920928952j)       
(0.41957212015166756-1.0129367028637897j)          (-0.17464037586619924-0.01618748022895676j)        (-0.035060089621616636-0.11118060567257705j)      
