Results from the 0th iteration     date:17/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=30 nLeg=500 pMin=0.001 pMax=1000.0
 
Degree of convergence : None
 
Current value for Z2 : 1

Datas for sigma_v(p) and sigma_s(p) :
p                                                  sigma_v(p)                                         sigma_s(p)                                        
(0.2460795146825499+0.8127454260384361j)           (-0.2705700344989194+0.5357648086005354j)          (0.24060074506840587+0.5762977217408556j)         
(0.2738612787525838+0.8215838362577492j)           (-0.36535693970572347+0.4540251710022352j)         (0.1384914079985419+0.5517284490920041j)          
(0.30085292718425255+0.8309708080283765j)          (-0.422545779123515+0.35979129064797283j)          (0.056436251053165305+0.5086690098097818j)        
(0.3270634722840403+0.8408153869325256j)           (-0.44535113955058264+0.25133693497070697j)        (-0.010211915530860583+0.4396327100454138j)       
(0.3525110901970732+0.8510370548406977j)           (-0.4482087112505102+0.1654729752483751j)          (-0.05940498768032661+0.38540608247808855j)       
(0.3772202941569474+0.8615655229428888j)           (-0.43470083129759324+0.08914234090940544j)        (-0.09659261302211702+0.33166091509304857j)       
(0.40121966908994505+0.8723400844078212j)          (-0.40971261603258585+0.026050366390707513j)       (-0.12197889453481606+0.28291457345924736j)       
(0.42454012508532607+0.8833087330075844j)          (-0.3784873211830129-0.030297823222601765j)        (-0.1428689478197846+0.23485949653738272j)        
(0.44721359549995876+0.8944271909999161j)          (-0.3361736951151287-0.061322338845844475j)        (-0.13973705890088647+0.19940671035104196j)       
(0.4692720971537952+0.9056579382786422j)           (-0.30160931261061913-0.08969183313623699j)        (-0.14438009030109322+0.1694822769093014j)        
(0.49074707469285966+0.9169692968249258j)          (-0.2643283235166216-0.11496148326524827j)         (-0.14649881585602012+0.1375406201657533j)        
(0.5116689616892025+0.928334598275916j)            (-0.23126997805662236-0.13359626827954124j)        (-0.14852903269888731+0.11233433549199956j)       
(0.5437238366355355-0.9195844771012971j)           (-0.20798013307322336+0.17970065433985813j)        (-0.1682587931236413-0.08682906105350444j)        
(0.5233186983115583-0.9076686950658281j)           (-0.24433871563746673+0.16972669479684163j)        (-0.1724167519038634-0.1092041058663825j)         
(0.5023699610279507-0.8957541949347624j)           (-0.2838512262978667+0.15444900455326804j)         (-0.17577225892379275-0.1356187778564317j)        
(0.48084448450919626-0.8838616510986967j)          (-0.3256229640230563+0.13150552121434705j)         (-0.1763876511646804-0.1670829979968612j)         
(0.4587070916976213-0.8720161672662323j)           (-0.37065516782819485+0.10157782485470268j)        (-0.17667222211883035-0.20380248648746857j)       
(0.43592072782038804-0.8602481507933954j)          (-0.4164980111483401+0.059827009015635035j)        (-0.1720714395781396-0.2478744377293866j)         
(0.41244677883227715-0.8485943349852867j)          (-0.4636478256283945+0.020148813339371154j)        (-0.1740585796277208-0.287262676598759j)          
(0.3882456170366383-0.8370989542151869j)           (-0.512994204521988-0.06001739218464614j)          (-0.1577726899204336-0.36014540690128444j)        
(0.3632774626955168-0.8258150609564421j)           (-0.5415422303728299-0.1502972082810876j)          (-0.12527722919793338-0.4265304608619704j)        
(0.3375036735394165-0.814805946009601j)            (-0.5513306738394048-0.26127266848660197j)         (-0.07508815961993139-0.5001167902548479j)        
(0.31088859529253005-0.8041465778593864j)          (-0.5310007466641232-0.3833051271205377j)          (-0.004469763674759079-0.569243223285163j)        
(0.2834021172976611-0.793924908343854j)            (-0.47931288020659757-0.541695615344682j)          (0.09154658992887202-0.6605535094979269j)         
(0.2550230631107429-0.7842427957707904j)           (-0.3631820246061075-0.6636532747351634j)          (0.2179268326486582-0.7014252599735333j)          
(0.22574348331708782-0.775216176469591j)           (-0.2003593118964065-0.752453345204102j)           (0.36153447009630035-0.7098600640059849j)         
(0.1955737767532794-0.7669739905326264j)           (-0.002579621531962416-0.8607231702327119j)        (0.5190058511432807-0.7368654103305511j)          
(0.16454831916450616-0.759655283230403j)           (0.21859952702009244-0.7766472646919697j)          (0.6612232147825478-0.6200319162628957j)          
(0.13273092242575021-0.753403940637418j)           (0.39873735346056305-0.6909917046838385j)          (0.7673494945382052-0.5217068271164421j)          
(0.10021904147807642-0.7483607794872631j)          (0.5887022957431166-0.5392177623629641j)           (0.8751902947535046-0.3895179252985387j)          
(0.06714534375125086-0.7446532731328542j)          (0.6781362588672822-0.38541759683734517j)          (0.9164073867583367-0.27035696431516587j)         
(0.033675294054862866-0.7423840147994035j)         (0.7436160059533495-0.18194156637456135j)          (0.9468676089436157-0.12586205233223455j)         
(5.988097684046444e-16+0.741619848709566j)         (0.7709116062236535+4.715689329741648e-15j)        (0.9606782251593762+3.864612660801365e-15j)       
(0.03367529405486405+0.7423840147994036j)          (0.7436160059533222+0.18194156637456005j)          (0.946867608943593+0.12586205233223427j)          
(0.06714534375125206+0.7446532731328543j)          (0.6781362588673009+0.3854175968373592j)           (0.9164073867583516+0.27035696431517503j)         
(0.1002190414780776+0.7483607794872632j)           (0.5887022957431047+0.5392177623629739j)           (0.8751902947534939+0.38951792529854723j)         
(0.13273092242575135+0.7534039406374182j)          (0.39873735346056804+0.6909917046838465j)          (0.7673494945382109+0.5217068271164486j)          
(0.16454831916450727+0.7596552832304032j)          (0.21859952702010166+0.7766472646919819j)          (0.661223214782557+0.620031916262903j)            
(0.1955737767532805+0.7669739905326266j)           (-0.0025796215319754197+0.8607231702327064j)       (0.5190058511432701+0.7368654103305485j)          
(0.22574348331708888+0.7752161764695913j)          (-0.20035931189641204+0.7524533452040886j)         (0.36153447009629397+0.7098600640059753j)         
(0.2550230631107439+0.7842427957707907j)           (-0.36318202460610927+0.6636532747351757j)         (0.21792683264865897+0.701425259973546j)          
(0.2834021172976621+0.7939249083438543j)           (-0.4793128802065958+0.5416956153446867j)          (0.09154658992887575+0.6605535094979309j)         
(0.310888595292531+0.8041465778593868j)            (-0.5310007466641291+0.38330512712055026j)         (-0.004469763674761192+0.569243223285176j)        
(0.33750367353941746+0.8148059460096013j)          (-0.551330673839397+0.2612726684866014j)           (-0.07508815961992452+0.5001167902548459j)        
(0.3632774626955177+0.8258150609564425j)           (-0.5415422303728317+0.15029720828108153j)         (-0.12527722919793893+0.4265304608619663j)        
(0.3882456170366391+0.8370989542151873j)           (-0.5129942045219917+0.06001739218464322j)         (-0.15777268992043944+0.36014540690128327j)       
(0.41244677883227804+0.848594334985287j)           (-0.4636478256283916-0.02014881333937219j)         (-0.17405857962771798+0.28726267659875715j)       
(0.4359207278203889+0.8602481507933959j)           (-0.4164980111483358-0.05982700901563707j)         (-0.17207143957813764+0.2478744377293838j)        
(0.45870709169762214+0.8720161672662327j)          (-0.37065516782819535-0.10157782485470543j)        (-0.1766722221188342+0.20380248648746926j)        
(0.48084448450919703+0.8838616510986972j)          (-0.3256229640230584-0.13150552121434192j)         (-0.1763876511646791+0.16708299799686835j)        
(0.5023699610279515+0.8957541949347628j)           (-0.28385122629786647-0.15444900455327013j)        (-0.17577225892379608+0.1356187778564282j)        
(0.5233186983115591+0.9076686950658286j)           (-0.24433871563746848-0.16972669479684196j)        (-0.17241675190386552+0.10920410586638427j)       
(0.5558929702514213-0.8994537199739334j)           (-0.21734746148519296+0.21795861722034776j)        (-0.19274354448967518-0.08257628914773608j)       
(0.5355116841298585-0.887002121665781j)            (-0.2539717778066719+0.20970945458751228j)         (-0.19575851279584405-0.10293673508444247j)       
(0.5145692441735613-0.8745178712006688j)           (-0.29931885838935274+0.19983974892417883j)        (-0.20494487354333316-0.12871862836651965j)       
(0.4930284708644122-0.8620191837093303j)           (-0.34964098727586385+0.18192291379365966j)        (-0.212922524545977-0.1610958668281708j)          
(0.4708492928770629-0.8495287261787149j)           (-0.404397035988912+0.15345411266391368j)          (-0.2184176780888511-0.20121694199969448j)        
(0.44798873806491907-0.8370746140177697j)          (-0.4628671484460596+0.11510579843654695j)         (-0.22286694181070685-0.2477017841885656j)        
(0.42440106426837726-0.8246916171225042j)          (-0.5246097379361312+0.06044075897313719j)         (-0.2230508745037669-0.3049999736024485j)         
(0.4000381065241386-0.8124226034961224j)           (-0.5836586116166729-0.0044480474129892185j)       (-0.21995013513882433-0.36390575410070186j)       
(0.3748499483731226-0.8003202382767365j)           (-0.6563445427805639-0.11350342395668428j)         (-0.21137234521998186-0.46184071959691736j)       
(0.34878606434741993-0.7884489321972363j)          (-0.6900457254795209-0.25128102449380896j)         (-0.1661394369626455-0.5583114703099304j)         
(0.3217971264527911-0.7768869870150183j)           (-0.6910106841041539-0.41891798102621713j)         (-0.09387342893032052-0.6618022385715792j)        
(0.2938377123121582-0.7657288039357291j)           (-0.6226181561995202-0.6062876523499002j)          (0.027754233179026734-0.7546984658369922j)        
(0.26487017927966583-0.7550868902792855j)          (-0.5094350001515662-0.8341030833078719j)          (0.175918913519309-0.8685376272902057j)           
(0.2348699435716338-0.7450932091982466j)           (-0.2895792967899475-0.9717802373477781j)          (0.3670888364101679-0.8868618040926699j)          
(0.2038322711011799-0.7358991743046491j)           (-0.023194173650771605-1.0327577520614697j)        (0.5611595699044538-0.8493242243029839j)          
(0.17178037486125586-0.727673345112677j)           (0.30597906474813125-1.01888142288187j)            (0.775640045430143-0.765375456295125j)            
(0.13877406226209957-0.7205957537737262j)          (0.5349457998754559-0.8868970553692068j)           (0.8966313266224337-0.6271033922157827j)          
(0.10491740905475914-0.7148479997333441j)          (0.8138204882426785-0.663739542190623j)            (1.0452349559087089-0.44256531112030784j)         
(0.07036316990897418-0.7105990259489796j)          (0.8775396361207779-0.4772112390665956j)           (1.0582017096490492-0.31055284987547066j)         
(0.035311337103290444-0.7079879169364557j)         (0.9530118019239543-0.23699059358294924j)          (1.0875506065935596-0.15123746530790458j)         
(6.280369834735103e-16+0.7071067811865472j)        (0.97675739769018+7.216328032960024e-15j)          (1.0964521630958202+4.905366451667607e-15j)       
(0.03531133710329169+0.7079879169364558j)          (0.9530118019239355+0.23699059358295413j)          (1.0875506065935465+0.15123746530790777j)         
(0.0703631699089754+0.7105990259489798j)           (0.8775396361207919+0.47721123906660756j)          (1.0582017096490592+0.31055284987547616j)         
(0.10491740905476035+0.7148479997333443j)          (0.8138204882426884+0.6637395421906219j)           (1.0452349559087148+0.4425653111203065j)          
(0.13877406226210076+0.7205957537737264j)          (0.5349457998754417+0.8868970553692228j)           (0.8966313266224268+0.6271033922157964j)          
(0.17178037486125702+0.7276733451126772j)          (0.30597906474809844+1.0188814228818728j)          (0.7756400454301197+0.7653754562951318j)          
(0.20383227110118102+0.7358991743046495j)          (-0.023194173650758435+1.0327577520614675j)        (0.5611595699044647+0.8493242243029822j)          
(0.2348699435716349+0.7450932091982468j)           (-0.2895792967899357+0.9717802373477814j)          (0.3670888364101787+0.8868618040926703j)          
(0.2648701792796669+0.755086890279286j)            (-0.5094350001515733+0.8341030833078646j)          (0.17591891351930214+0.8685376272902037j)         
(0.2938377123121592+0.7657288039357295j)           (-0.6226181561995232+0.6062876523498907j)          (0.027754233179021266+0.7546984658369866j)        
(0.3217971264527922+0.7768869870150187j)           (-0.6910106841041611+0.41891798102621614j)         (-0.09387342893032699+0.6618022385715817j)        
(0.34878606434742093+0.7884489321972367j)          (-0.6900457254795158+0.2512810244937958j)          (-0.16613943696264694+0.558311470309918j)         
(0.3748499483731235+0.8003202382767368j)           (-0.6563445427805592+0.11350342395668292j)         (-0.21137234521997872+0.4618407195969143j)        
(0.4000381065241395+0.8124226034961228j)           (-0.583658611616667+0.004448047412984589j)         (-0.21995013513882275+0.3639057541006969j)        
(0.42440106426837815+0.8246916171225045j)          (-0.5246097379361317-0.06044075897314142j)         (-0.22305087450377054+0.304999973602446j)         
(0.4479887380649199+0.8370746140177702j)           (-0.46286714844606264-0.11510579843654223j)        (-0.22286694181070804+0.2477017841885721j)        
(0.4708492928770638+0.8495287261787152j)           (-0.40439703598890436-0.15345411266391687j)        (-0.21841767808884746+0.20121694199968712j)       
(0.493028470864413+0.8620191837093307j)            (-0.34964098727586307-0.18192291379366235j)        (-0.21292252454597918+0.16109586682816882j)       
(0.514569244173562+0.8745178712006693j)            (-0.2993188583893466-0.1998397489241873j)          (-0.2049448735433332+0.12871862836650808j)        
(0.5355116841298592+0.8870021216657814j)           (-0.2539717778066703-0.20970945458750406j)         (-0.19575851279583803+0.10293673508444859j)       
(0.5685884319844476-0.8793706869042954j)           (-0.21954664747406236+0.2506819856009871j)         (-0.2063756864059911-0.0789668664149855j)         
(0.5482653564112145-0.8663688019779542j)           (-0.26340696148230813+0.24350872976135748j)        (-0.21285868442371156-0.10394318866496985j)       
(0.5273663763812145-0.8532967215086744j)           (-0.31264166980012614+0.24829020756523498j)        (-0.23358972129039202-0.12119134288594102j)       
(0.5058503746581431-0.840169388600765j)            (-0.3664107345859341+0.2413047803623842j)          (-0.24861650826308063-0.14665280789650856j)       
(0.4836724033549418-0.8270060421587891j)           (-0.4332486129213688+0.21993156025848853j)         (-0.26401121870258026-0.1879714249950453j)        
(0.4607834546871204-0.8138313044565176j)           (-0.5083634775034058+0.1860243766152458j)          (-0.2792339053165204-0.2391797142562335j)         
(0.43713032888067943-0.8006765416991624j)          (-0.588314107676179+0.13530934339949457j)          (-0.2908142423653891-0.3003496265335337j)         
(0.4126556767100719-0.7875815561077132j)           (-0.6763222336287658+0.05884274665596551j)         (-0.2980991514034025-0.3796219632032268j)         
(0.38729833462074165-0.774596669241483j)           (-0.7586349826563124-0.04519131359290444j)         (-0.29268542538441555-0.469756329096523j)         
(0.3609941274990458-0.7617852453866488j)           (-0.8671418755324142-0.20479972237421684j)         (-0.2915265597716201-0.6074809176462118j)         
(0.33367739086854936-0.7492266687570873j)          (-0.9100911306073314-0.42645779726850513j)         (-0.2257814298194376-0.7554374982653441j)         
(0.30528355922641215-0.7370197090539342j)          (-0.8768414860372793-0.7004306677946259j)          (-0.10049106014975903-0.9091137146639043j)        
(0.2757532673782983-0.7252860569939331j)           (-0.7160273381011346-1.0067605614291977j)          (0.10781556061721234-1.045569230303587j)          
(0.24503847917170962-0.7141735477282702j)          (-0.4491238930075202-1.2974555198257924j)          (0.36014332970861657-1.1464288006445094j)         
(0.213111111066033-0.7038581857588918j)            (-0.03720790245783296-1.3813110916224989j)         (0.6469661915704926-1.078513883396607j)           
(0.1799743135135536-0.6945435576871146j)           (0.41759530237839304-1.2584503128178737j)          (0.9113272427076962-0.8865168581301479j)          
(0.14567582175811639-0.6864557123696342j)          (0.7416993338844841-1.1441766408625127j)           (1.078165935216705-0.7495731671956053j)           
(0.11032145989166542-0.6798314677275743j)          (0.9204355580935344-0.8765352253136551j)           (1.135824384980861-0.5479111152049094j)           
(0.07408516337514619-0.6748989638696459j)          (1.1412100808668917-0.5755931367499098j)           (1.2310514919072764-0.34267999271956007j)         
(0.03721059598334016-0.6718516416988463j)          (1.2196449474311153-0.3051813521222578j)           (1.2527791624032854-0.17844117851074326j)         
(6.620091075326064e-16+0.6708203932499366j)        (1.2531216814666661+7.267990407753259e-15j)        (1.2638925688848979+4.1681893617809794e-15j)      
(0.03721059598334148+0.6718516416988463j)          (1.2196449474311182+0.3051813521222738j)           (1.2527791624032876+0.17844117851075267j)         
(0.07408516337514749+0.674898963869646j)           (1.141210080866881+0.5755931367499071j)            (1.2310514919072693+0.3426799927195579j)          
(0.1103214598916667+0.6798314677275745j)           (0.9204355580935583+0.8765352253136689j)           (1.13582438498088+0.5479111152049163j)            
(0.1456758217581176+0.6864557123696345j)           (0.7416993338844913+1.1441766408625316j)           (1.0781659352167134+0.7495731671956171j)          
(0.17997431351355478+0.694543557687115j)           (0.4175953023783397+1.2584503128178544j)           (0.9113272427076574+0.8865168581301451j)          
(0.21311111106603417+0.7038581857588921j)          (-0.0372079024578438+1.381311091622502j)           (0.6469661915704867+1.0785138833966117j)          
(0.24503847917171073+0.7141735477282706j)          (-0.44912389300754635+1.2974555198257962j)         (0.36014332970859886+1.1464288006445198j)         
(0.27575326737829936+0.7252860569939336j)          (-0.7160273381011439+1.006760561429211j)           (0.10781556061720858+1.045569230303601j)          
(0.3052835592264132+0.7370197090539345j)           (-0.8768414860372856+0.7004306677945993j)          (-0.10049106014977159+0.9091137146638852j)        
(0.33367739086855036+0.7492266687570878j)          (-0.9100911306073367+0.4264577972684935j)          (-0.22578142981944768+0.7554374982653379j)        
(0.36099412749904675+0.7617852453866493j)          (-0.8671418755324176+0.204799722374213j)           (-0.29152655977162506+0.6074809176462119j)        
(0.38729833462074253+0.7745966692414835j)          (-0.7586349826563139+0.04519131359290039j)         (-0.2926854253844191+0.46975632909652254j)        
(0.41265567671007286+0.7875815561077135j)          (-0.6763222336287595-0.058842746655962536j)        (-0.2980991514033966+0.379621963203228j)          
(0.4371303288806802+0.8006765416991629j)           (-0.5883141076761728-0.13530934339949946j)         (-0.2908142423653875+0.3003496265335279j)         
(0.46078345468712123+0.8138313044565181j)          (-0.5083634775033969-0.18602437661524732j)         (-0.27923390531651576+0.23917971425622697j)       
(0.4836724033549426+0.8270060421587897j)           (-0.43324861292136363-0.2199315602584891j)         (-0.2640112187025787+0.18797142499504213j)        
(0.5058503746581439+0.8401693886007654j)           (-0.3664107345859321-0.24130478036238703j)         (-0.24861650826308127+0.1466528078965055j)        
(0.5273663763812153+0.8532967215086749j)           (-0.312641669800132-0.24829020756523185j)          (-0.23358972129039593+0.12119134288594893j)       
(0.5482653564112152+0.8663688019779546j)           (-0.2634069614823061-0.2435087297613616j)          (-0.21285868442371386+0.10394318866496433j)       
(0.5818216915116268-0.8593698160358264j)           (-0.21500546465554077+0.29328311430119725j)        (-0.22353704120329582-0.06524221093136091j)       
(0.5615943404292886-0.8458062444804999j)           (-0.26293515340742196+0.2984503759634731j)         (-0.2397778648005738-0.08470780893639025j)        
(0.540779890611518-0.8321315341277512j)            (-0.3168487224937843+0.2982363005407007j)          (-0.255858459165566-0.1090250069036626j)          
(0.5193335688181523-0.8183564967062936j)           (-0.3877053499457934+0.29671202154145965j)         (-0.2832015881071939-0.14273614247505412j)        
(0.49720578787857855-0.8044958641907101j)          (-0.4446121434547474+0.2925773700376486j)          (-0.2988528205462445-0.1631961010058445j)         
(0.47434164902525694-0.7905694150420945j)          (-0.5426333366010144+0.27589561735642404j)         (-0.33617260064820736-0.21499865587231537j)       
(0.4506804715260331-0.7766034299531048j)           (-0.6456984504680219+0.240100874236771j)           (-0.36680838869634125-0.27596655931100167j)       
(0.4261554153848613-0.7626325708110316j)           (-0.7659122749875421+0.17056862557518887j)         (-0.39372423804105716-0.3628835112863016j)        
(0.40069330858700264-0.7487022956732524j)          (-0.9014152480950608+0.06283151300237645j)         (-0.4172666551424342-0.4756337592752048j)         
(0.3742148617016513-0.7348719362707937j)           (-1.0369863447019145-0.11258080229296089j)         (-0.41709068945433814-0.626343316175023j)         
(0.34663556059879713-0.7212185604042937j)          (-1.20876559458435-0.3575700657111463j)            (-0.4284055230937798-0.8278751611408011j)         
(0.31786768390292097-0.7078416944980048j)          (-1.2551552349939106-0.7573067351609751j)          (-0.3087891345206134-1.0785061698786553j)         
(0.2878240998850147-0.6948688455202308j)           (-1.099910288161281-1.2426880768239188j)           (-0.04865250677894869-1.3148681009560794j)        
(0.25642473616709854-0.68246146068358j)            (-0.7611113320051823-1.6592469508478862j)          (0.27976214545246536-1.450666486953124j)          
(0.22360679774997866-0.6708203932499365j)          (-0.05060012477698196-1.9421604677372433j)         (0.7908465425677509-1.428050738766066j)           
(0.1893397166508257-0.6601890095278885j)           (0.5390742498871632-1.7631469660954988j)           (1.0965359044955252-1.1603924017865628j)          
(0.15364503815606553-0.650850826034644j)           (1.0672390925948898-1.459656688628077j)            (1.3375219123896303-0.8701773158472754j)          
(0.1166194393441255-0.6431174804286831j)           (1.2767196292184566-1.0823874652001597j)           (1.3778199924975543-0.6108186324324653j)          
(0.07845560069799312-0.6373031313910849j)          (1.4607154188382243-0.6649298224784583j)           (1.4216489133844215-0.35451305906513253j)         
(0.03945178966110018-0.6336848141682607j)          (1.4971543165674062-0.3844401494341675j)           (1.4079262000760524-0.20496520534983168j)         
(7.021666937153406e-16+0.6324555320336754j)        (1.5318545666182186+5.012665321974947e-15j)        (1.4143357721675718+2.4882941766028657e-15j)      
(0.03945178966110158+0.6336848141682608j)          (1.4971543165673924+0.38444014943416754j)          (1.4079262000760446+0.20496520534983134j)         
(0.0784556006979945+0.6373031313910851j)           (1.4607154188382012+0.6649298224784588j)           (1.421648913384407+0.3545130590651333j)           
(0.11661943934412683+0.6431174804286833j)          (1.2767196292184622+1.0823874652001586j)           (1.3778199924975603+0.6108186324324629j)          
(0.15364503815606687+0.6508508260346442j)          (1.0672390925948854+1.459656688628102j)            (1.3375219123896325+0.8701773158472925j)          
(0.18933971665082694+0.6601890095278888j)          (0.5390742498871588+1.7631469660955177j)           (1.0965359044955278+1.1603924017865765j)          
(0.22360679774997985+0.6708203932499368j)          (-0.05060012477696843+1.9421604677372453j)         (0.7908465425677617+1.4280507387660657j)          
(0.2564247361670997+0.6824614606835804j)           (-0.7611113320051871+1.6592469508478607j)          (0.2797621454524561+1.4506664869531096j)          
(0.2878240998850157+0.6948688455202313j)           (-1.0999102881612854+1.2426880768238986j)          (-0.04865250677895783+1.3148681009560679j)        
(0.317867683902922+0.7078416944980053j)            (-1.2551552349939175+0.7573067351609578j)          (-0.30878913452062495+1.0785061698786462j)        
(0.34663556059879813+0.7212185604042942j)          (-1.2087655945843345+0.3575700657111474j)          (-0.42840552309376867+0.8278751611407976j)        
(0.3742148617016523+0.7348719362707942j)           (-1.0369863447018983+0.11258080229294697j)         (-0.41709068945433253+0.6263433161750075j)        
(0.4006933085870035+0.748702295673253j)            (-0.9014152480950512-0.06283151300238665j)         (-0.4172666551424325+0.4756337592751942j)         
(0.42615541538486224+0.7626325708110321j)          (-0.7659122749875382-0.17056862557519667j)         (-0.3937242380410592+0.3628835112862948j)         
(0.45068047152603397+0.7766034299531053j)          (-0.6456984504680175-0.24010087423676252j)         (-0.3668083886963332+0.27596655931100605j)        
(0.47434164902525777+0.790569415042095j)           (-0.5426333366010141-0.27589561735642976j)         (-0.3361726006482122+0.2149986558723124j)         
(0.4972057878785793+0.8044958641907106j)           (-0.44461214345475136-0.2925773700376453j)         (-0.29885282054624646+0.16319610100584964j)       
(0.519333568818153+0.8183564967062942j)            (-0.38770534994579886-0.2967120215414652j)         (-0.2832015881072035+0.14273614247505484j)        
(0.5407798906115187+0.8321315341277518j)           (-0.3168487224937849-0.2982363005407004j)          (-0.25585845916556654+0.10902500690366333j)       
(0.5615943404292894+0.8458062444805003j)           (-0.2629351534074127-0.29845037596346874j)         (-0.23977786480056418+0.08470780893638737j)       
(0.5956009591248385-0.8394882384586617j)           (-0.2057811599653684+0.3393233042622513j)          (-0.2406509673891827-0.0485658477247329j)         
(0.575509703031074-0.8253553284997402j)            (-0.2536379735769853+0.35131095021458314j)         (-0.259002621368235-0.0638003440285192j)          
(0.5548244748528126-0.8110673201995618j)           (-0.3126249077202894+0.360046169340226j)           (-0.28131149041658887-0.08621736893245624j)       
(0.5334973362363264-0.7966300319290351j)           (-0.38006350558270957+0.3675603581991489j)         (-0.30796040291885457-0.11130639661142779j)       
(0.5114745642887089-0.7820525749042222j)           (-0.4624012864571953+0.3697278066669593j)          (-0.34042215078413274-0.14526960498463978j)       
(0.4886958501268159-0.7673484436233455j)           (-0.5564561443446819+0.3655957751273135j)          (-0.37638387657192757-0.18489494539890214j)       
(0.46509342724066016-0.7525369732195639j)          (-0.7264095567871399+0.3807203447541892j)          (-0.4771387319091877-0.24800249316448858j)        
(0.4405911670765031-0.7376452917939857j)           (-0.8376081103333028+0.33284499431383197j)         (-0.49806468430996675-0.310472149714197j)         
(0.41510372166031595-0.7227109378833592j)          (-1.02385242623538+0.24416025520642817j)           (-0.5538882216907375-0.4297431960268914j)         
(0.38853586740497-0.70778536312934j)               (-1.2621125768058763+0.08615702729317586j)         (-0.6187869485828519-0.605485803399877j)          
(0.360782331043723-0.6929385906365311j)            (-1.5215727985446381-0.20624841254027174j)         (-0.6513903663095171-0.8614361357054721j)         
(0.3317285882687599-0.6782653288166688j)           (-2.1226152538607086-0.12347191060372187j)         (-1.0681767296556675-0.9520250832024726j)         
(0.301253456940109-0.6638927965555625j)            (-1.8261396785553692-1.5316771014297605j)          (-0.3843375155865782-1.7211884980153744j)         
(0.26923479235658143-0.649990287169963j)           (-1.1775206455077156-2.390717201999895j)           (0.2652326630597192-2.0138706750329076j)          
(0.2355602076589381-0.6367798767488821j)           (-0.040440443285305765-2.7605594963306594j)        (1.0298834263294232-1.8977303354960584j)          
(0.20014527642706317-0.6245463406954402j)          (0.9661536156223932-2.43833768947014j)             (1.5136162454249007-1.444522390932496j)           
(0.16296147921353563-0.6136419507395685j)          (1.3414015677889997-1.8359617418532088j)           (1.561848281523907-1.0012143869845964j)           
(0.1240738797918304-0.6044785584672107j)           (1.7377967889627002-1.23121158029516j)             (1.6546969351579015-0.6041239195208911j)          
(0.08368241889437027-0.5974970688062096j)          (1.8318831499846475-0.7063450864226641j)           (1.616111800674306-0.32233402362146796j)          
(0.042150863533702655-0.5931076591114266j)         (1.8443903874728536-0.37331752988052586j)          (1.5783304908961298-0.16971125229141393j)         
(7.506477703676115e-16+0.5916079783099611j)        (1.855662940975314+8.80688140690326e-15j)          (1.5686859419362922+4.287208169730113e-15j)       
(0.04215086353370415+0.5931076591114267j)          (1.844390387472864+0.3733175298805447j)            (1.5783304908961369+0.16971125229142273j)         
(0.08368241889437172+0.5974970688062098j)          (1.831883149984636+0.7063450864226597j)            (1.6161118006742996+0.3223340236214649j)          
(0.1240738797918318+0.604478558467211j)            (1.7377967889626686+1.23121158029515j)             (1.6546969351578826+0.6041239195208881j)          
(0.16296147921353699+0.6136419507395688j)          (1.3414015677889877+1.835961741853242j)            (1.5618482815239065+1.001214386984619j)           
(0.20014527642706445+0.6245463406954407j)          (0.9661536156223787+2.438337689470171j)            (1.5136162454249016+1.4445223909325193j)          
(0.23556020765893934+0.6367798767488826j)          (-0.04044044328533848+2.7605594963306115j)         (1.029883426329394+1.897730335496038j)            
(0.2692347923565826+0.6499902871699634j)           (-1.1775206455077043+2.3907172019999567j)          (0.26523266305974463+2.013870675032948j)          
(0.3012534569401102+0.663892796555563j)            (-1.8261396785554025+1.531677101429744j)           (-0.38433751558660434+1.7211884980153762j)        
(0.33172858826876095+0.6782653288166692j)          (-2.122615253859938+0.12347191060348543j)          (-1.0681767296552274+0.9520250832020412j)         
(0.360782331043724+0.6929385906365315j)            (-1.5215727985446417+0.20624841254026635j)         (-0.6513903663095234+0.8614361357054714j)         
(0.3885358674049709+0.7077853631293406j)           (-1.262112576805874-0.08615702729317978j)          (-0.6187869485828538+0.6054858033998752j)         
(0.41510372166031695+0.7227109378833596j)          (-1.0238524262353692-0.2441602552064311j)          (-0.5538882216907326+0.4297431960268855j)         
(0.440591167076504+0.7376452917939863j)            (-0.8376081103332985-0.33284499431383885j)         (-0.49806468430996875+0.31047214971419057j)       
(0.465093427240661+0.7525369732195645j)            (-0.7264095567870766-0.38072034475419814j)         (-0.47713873190914824+0.24800249316444706j)       
(0.48869585012681677+0.767348443623346j)           (-0.556456144344677-0.36559577512731406j)          (-0.3763838765719254+0.18489494539889925j)        
(0.5114745642887097+0.7820525749042226j)           (-0.46240128645719053-0.369727806666961j)          (-0.3404221507841323+0.14526960498463704j)        
(0.5334973362363272+0.7966300319290356j)           (-0.3800635055827027-0.3675603581991467j)          (-0.30796040291884996+0.11130639661142588j)       
(0.5548244748528134+0.8110673201995624j)           (-0.3126249077202896-0.3600461693402251j)          (-0.28131149041658876+0.0862173689324585j)        
(0.5755097030310746+0.8253553284997408j)           (-0.25363797357698675-0.35131095021457626j)        (-0.2590026213682312+0.06380034402852473j)        
