Results from the 1st iteration     date:14/05/22
---------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=50 nLeg=1000 pMin=0.001 pMax=1000.0
 
Degree of convergence : 6.3603687947391245
 
Current value for Z2 : 0.9845311958120637

Graph for A(p) and M(p) :
p                         A(p)                      M(p)                     
0.0010000000000000002     0.9705086922301974        0.030753197501571197     
0.0013182567385564082     0.9705136813150751        0.030753038601104548     
0.001737800828749375      0.9705223495164063        0.03075276252535743      
0.0022908676527677737     0.9705374052552853        0.03075228302053846      
0.0030199517204020166     0.9705635449642           0.0307514505340954       
0.003981071705534972      0.9706089041249759        0.030750006039210857     
0.005248074602497728      0.9706875587015442        0.030747501486871127     
0.006918309709189366      0.9708238341452161        0.030743162939247486     
0.009120108393559105      0.9710597270531115        0.03073565533119123      
0.012022644346174125      0.9714676858977213        0.030722678852572093     
0.01584893192461114       0.9721726002329076        0.030700278940278        
0.020892961308540386      0.9733895484515919        0.030661674852252473     
0.02754228703338166       0.9754883266640513        0.030595295636074687     
0.03630780547701015       0.9791029449931028        0.030481559723040785     
0.047863009232263866      0.9853149907619736        0.030287804608706465     
0.06309573444801932       0.995953381340142         0.02996090231801352      
0.08317637711026711       1.0140624508529161        0.029418162380149715     
0.10964781961431853       1.0445670831011478        0.028540579518213347     
0.1445439770745927        1.0950194252596575        0.027179972876291435     
0.19054607179632477       1.1758211028164325        0.025200058454451772     
0.2511886431509581        1.2980607019361747        0.022562066817045603     
0.33113112148259105       1.4649622639648083        0.019410516212078607     
0.436515832240166         1.6528915186127096        0.01605774570656596      
0.5754399373371571        1.7919932961162508        0.012855628282305907     
0.7585775750291835        1.793011536816876         0.010125108722495564     
1.0                       1.6468670702555757        0.00816124554455901      
1.3182567385564075        1.4529066151985326        0.006986945485896758     
1.7378008287493762        1.2939925632680607        0.0062747439960069455    
2.2908676527677745        1.1854035327257006        0.005773993722294826     
3.0199517204020143        1.1159806445201996        0.005388473057189139     
3.981071705534971         1.0725991537584545        0.005078817472825713     
5.2480746024977245        1.045547073133492         0.004823053809411566     
6.918309709189367         1.028643908717119         0.004607983655105243     
9.120108393559098         1.0178561761521894        0.004426730838701783     
12.022644346174138        1.0086166277377713        0.004253881161259832     
15.848931924611122        1.0021569231408756        0.004092151016850867     
20.892961308540382        0.9993116541825819        0.00395577358994701      
27.54228703338165         0.9974345171919734        0.003831986603964251     
36.30780547701014         0.9957825976340318        0.0037154105638168566    
47.863009232263856        0.9943177816636275        0.0036052193377176084    
63.095734448019364        0.9930149373874597        0.0035007854474171205    
83.17637711026705         0.9918485245211888        0.0034015367751156792    
109.64781961431841        0.9907976381843755        0.0033069771269461506    
144.54397707459273        0.989845444006042         0.003216675629847177     
190.54607179632464        0.9889781670315265        0.0031302530559880496    
251.18864315095806        0.9881843118636431        0.003047369114763182     
331.1311214825911         0.9874540118251713        0.002967708689640602     
436.5158322401654         0.9867783719813275        0.0028909629735475333    
575.4399373371566         0.9861485273330335        0.0028167947929848523    
758.5775750291831         0.9855533514479753        0.0027447466308776645    
999.9999999999998         0.9849869951135337        0.0026737776380795636    
