Results from the 2nd iteration     date:14/05/22
---------------------------------------------------------------------------
Parameters of the run are : 
m=0.004 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=50 nLeg=1000 pMin=0.001 pMax=1000.0
 
Degree of convergence : 5.850696482523084
 
Current value for Z2 : 0.9849161864976935

Graph for A(p) and M(p) :
p                         A(p)                      M(p)                     
0.0010000000000000002     0.823699718228617         0.07326267092939034      
0.0013182567385564082     0.8237035728679497        0.07326241247256055      
0.001737800828749375      0.8237102713907586        0.07326196333519795      
0.0022908676527677737     0.8237219118210566        0.07326118285583015      
0.0030199517204020166     0.8237421397211564        0.07325982663801804      
0.003981071705534972      0.8237772891939413        0.07325747010529969      
0.005248074602497728      0.8238383641629573        0.07325337583746012      
0.006918309709189366      0.8239444767943678        0.07324626357408706      
0.009120108393559105      0.8241288089946567        0.07323391215385212      
0.012022644346174125      0.8244489317839019        0.07321247256633058      
0.01584893192461114       0.8250046213755463        0.07317528813509233      
0.020892961308540386      0.8259684908807104        0.07311088397902128      
0.02754228703338166       0.8276383246728906        0.07299958321586839      
0.03630780547701015       0.8305256511855852        0.07280792296400344      
0.047863009232263866      0.8355034807509092        0.07247972944660971      
0.06309573444801932       0.8440467646743195        0.07192262240198771      
0.08317637711026711       0.8586062204462591        0.07098965179585295      
0.10964781961431853       0.883136518171669         0.06945952743315317      
0.1445439770745927        0.9236821001138967        0.06702772644045076      
0.19054607179632477       0.9885285340967304        0.06333182761393086      
0.2511886431509581        1.086432722682706         0.05802728179663562      
0.33113112148259105       1.2198126210268256        0.05087862156108451      
0.436515832240166         1.370080650323635         0.04181413849551475      
0.5754399373371571        1.4842457508121096        0.03113756079894553      
0.7585775750291835        1.4996651710941686        0.020347713920121288     
1.0                       1.4189290248840576        0.012485367644452036     
1.3182567385564075        1.3127975205440163        0.008817910324948344     
1.7378008287493762        1.2229331209506955        0.007273653370220712     
2.2908676527677745        1.1528114944014294        0.0063744080575231675    
3.0199517204020143        1.1013486600409543        0.005751576705622797     
3.981071705534971         1.0658766825422823        0.005297229916998835     
5.2480746024977245        1.0423195850194509        0.004952512154957117     
6.918309709189367         1.0270108113451377        0.004682223128962271     
9.120108393559098         1.017000123232837         0.004466505852567904     
12.022644346174138        1.008266504638281         0.004270839490523854     
15.848931924611122        1.0020786376525357        0.00409640095266589      
20.892961308540382        0.9993360732634814        0.003954496302335663     
27.54228703338165         0.9975200839662975        0.0038298184931085124    
36.30780547701014         0.9959174641832834        0.0037161955245554675    
47.863009232263856        0.9944934094583736        0.0036121764423276037    
63.095734448019364        0.9932246677074804        0.003516613448587502     
83.17637711026705         0.9920871232660867        0.0034285104614074813    
109.64781961431841        0.9910609230874016        0.003347022330344656     
144.54397707459273        0.9901300238591632        0.003271429471489775     
190.54607179632464        0.9892812605654809        0.003201113446569573     
251.18864315095806        0.9885036174020597        0.0031355365780378745    
331.1311214825911         0.987787612838542         0.0030742235503123804    
436.5158322401654         0.9871246704140567        0.0030167419939755515    
575.4399373371566         0.9865062039380837        0.0029626749553154407    
758.5775750291831         0.9859213696772221        0.00291156003128298      
999.9999999999998         0.9853644897013255        0.0028625770669398706    
