Results from the 55th iteration     date:15/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0.13642303097683633 mu=1 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=50 nLeg=1000 pMin=0.001 pMax=1000.0
 
Degree of convergence : 0.005781381814677191
 
Current value for Z2 : 0.685424017652728

Graph for A(p) and M(p) :
p                         A(p)                      M(p)                     
0.0010000000000000002     1.086327489577728         0.4893456867807734       
0.0013182567385564082     1.0863275448496483        0.4893451681374          
0.001737800828749375      1.0863276408999842        0.489344266840316        
0.0022908676527677737     1.086327807813135         0.48934270057058354      
0.0030199517204020166     1.0863280978656913        0.489339978720994        
0.003981071705534972      1.0863286018906515        0.48933524873477496      
0.005248074602497728      1.0863294776991714        0.48932702910057513      
0.006918309709189366      1.0863309994190424        0.4893127454354391       
0.009120108393559105      1.0863336430774058        0.48928792454454123      
0.012022644346174125      1.0863382348505373        0.4892447946274598       
0.01584893192461114       1.0863462072559034        0.48916985503948207      
0.020892961308540386      1.086360040027221         0.48903966003487964      
0.02754228703338166       1.0863840131909344        0.488813512908484        
0.03630780547701015       1.0864254763593622        0.4884208336255817       
0.047863009232263866      1.0864969359697012        0.4877393981185292       
0.06309573444801932       1.0866193269017055        0.4865580982022071       
0.08317637711026711       1.0868266365650117        0.4845139452106319       
0.10964781961431853       1.0871708007714316        0.48098768922503726      
0.1445439770745927        1.0877210682400378        0.47493730839436954      
0.19054607179632477       1.0885370238759282        0.46465107649384796      
0.2511886431509581        1.089552369943406         0.44743442934587235      
0.33113112148259105       1.0902065672737213        0.41936071449922796      
0.436515832240166         1.0884992179447197        0.37550028870257257      
0.5754399373371571        1.0792106488904771        0.31151668009431327      
0.7585775750291835        1.052669600116745         0.22784088305785646      
1.0                       1.0                       0.13642303097683636      
1.3182567385564075        0.9278318432148653        0.06263496733306027      
1.7378008287493762        0.8584126648473567        0.02474754063493676      
2.2908676527677745        0.8049478691124767        0.01246199673279551      
3.0199517204020143        0.7673490124955871        0.008551548728371668     
3.981071705534971         0.7420764534035844        0.006703677156081011     
5.2480746024977245        0.7254916756998842        0.005664362901527492     
6.918309709189367         0.7147723852700227        0.005031129291654812     
9.120108393559098         0.7077804916850476        0.004621235817844365     
12.022644346174138        0.7016893692789872        0.00431921971520482      
15.848931924611122        0.6973770260508498        0.004086646176114378     
20.892961308540382        0.6954662566865144        0.003913132853957999     
27.54228703338165         0.6942012412365679        0.003771087925732083     
36.30780547701014         0.6930849815020168        0.0036478826845250025    
47.863009232263856        0.6920931656288509        0.0035385321415179255    
63.095734448019364        0.691209566073163         0.0034399073529483674    
83.17637711026705         0.6904173691537401        0.0033498960953379634    
109.64781961431841        0.689702737135895         0.0032670224644321855    
144.54397707459273        0.6890544895352086        0.0031902101158264207    
190.54607179632464        0.6884634528345766        0.0031186393971587337    
251.18864315095806        0.6879219518816462        0.0030516601228366097    
331.1311214825911         0.6874233811322377        0.002988734993087839     
436.5158322401654         0.6869617661706242        0.002929397776335276     
575.4399373371566         0.6865311265027871        0.002873211495756182     
758.5775750291831         0.6861239103009971        0.002819694835878475     
999.9999999999998         0.6857361629873588        0.0027679834750548673    
