Results from the 22nd iteration     date:15/05/22
------------------------------------------------------------------------
Parameters of the run are : 
m=0 mu=19 lambda=0.72 lambdaQCD=0.234 gamma=0.48 eta=1.8

Parameters for the integartions are : 
nCheby=50 nLeg=1000 pMin=0.001 pMax=1000.0
 
Degree of convergence : 0.005195086950169807
 
Current value for Z2 : 0.9849070688016602

Graph for A(p) and M(p) :
p                         A(p)                      M(p)                     
0.0010000000000000002     1.5512784132371578        0.475917053534933        
0.0013182567385564082     1.5512785393747768        0.4759165226472276       
0.001737800828749375      1.5512787585750942        0.47591560007192035      
0.0022908676527677737     1.5512791394962755        0.4759139968252026       
0.0030199517204020166     1.5512798014440379        0.47591121071847126      
0.003981071705534972      1.5512809517266002        0.47590636906996137      
0.005248074602497728      1.5512829505340575        0.47589795540073393      
0.006918309709189366      1.5512864235965047        0.4758833345771181       
0.009120108393559105      1.5512924576782234        0.475857927879818        
0.012022644346174125      1.5513029394554372        0.47581378027359494      
0.01584893192461114       1.5513211418493085        0.47573707312782093      
0.020892961308540386      1.5513527352004677        0.47560380942690644      
0.02754228703338166       1.5514075211003617        0.4753723384666374       
0.03630780547701015       1.5515023749785435        0.4749704343870132       
0.047863009232263866      1.5516661477990175        0.4742730491449326       
0.06309573444801932       1.551947548755676         0.4730642751288428       
0.08317637711026711       1.5524269485090034        0.4709731041137281       
0.10964781961431853       1.5532312909141202        0.4673672905880462       
0.1445439770745927        1.554543735466471         0.4611849275616608       
0.19054607179632477       1.5565745510670588        0.45068718344296255      
0.2511886431509581        1.5593884457199119        0.4331516351075008       
0.33113112148259105       1.5623150092400595        0.40464739428294766      
0.436515832240166         1.5624053346936404        0.36031927668400293      
0.5754399373371571        1.5515567579021246        0.29605809357849516      
0.7585775750291835        1.5146941676756187        0.21270219550012762      
1.0                       1.4384462130888442        0.12268374221056944      
1.3182567385564075        1.3336347478821664        0.051445131639430104     
1.7378008287493762        1.2334939484398906        0.016175880551828014     
2.2908676527677745        1.156637385199783         0.005557479311586506     
3.0199517204020143        1.1026141993522804        0.0025712919762919473    
3.981071705534971         1.0663033167403697        0.0013038564311818627    
5.2480746024977245        1.042474932290741         0.0006712008986249001    
6.918309709189367         1.0270738568748907        0.00034145311286803536   
9.120108393559098         1.0170281548783493        0.00016603268447681118   
12.022644346174138        1.0082766369434968        7.117341971559766e-05    
15.848931924611122        1.0020808002660437        1.999636939360064e-05    
20.892961308540382        0.9993354661353543        -7.496077115770172e-06   
27.54228703338165         0.9975179304976315        -2.2194285753274465e-05  
36.30780547701014         0.9959141220439428        -2.987577044781943e-05   
47.863009232263856        0.9944891104487318        -3.370461180997464e-05   
63.095734448019364        0.9932195805850149        -3.542552246015034e-05   
83.17637711026705         0.9920813751361698        -3.600158855408347e-05   
109.64781961431841        0.9910546125118173        -3.596469002308793e-05   
144.54397707459273        0.9901232289634486        -3.560822585285196e-05   
190.54607179632464        0.9892740442823907        -3.5093480725593384e-05  
251.18864315095806        0.9884960310578789        -3.4508466860339405e-05  
331.1311214825911         0.9877796986543449        -3.390052236462129e-05   
436.5158322401654         0.987116463217874         -3.329434468690515e-05   
575.4399373371566         0.9864977321565266        -3.270184670845469e-05   
758.5775750291831         0.9859126552252507        -3.2127112663030366e-05  
999.9999999999998         0.9853555506051833        -3.156588712232037e-05   
